x;y;nds_rank
0.6;0.0;0
0.570633909777092;0.1854101966249684;0
0.4854101966249684;0.3526711513754839;0
0.3526711513754839;0.4854101966249684;0
0.1854101966249684;0.570633909777092;0
0.2813453949628865;0.6409717378583687;1
0.5411476323248348;0.4440261704328084;1
0.6568037191127222;0.2420926982783587;1
0.2511607793454879;0.6533898246212341;1
0.4867523064512939;0.5030628113509739;1
0.5689044575668668;0.5624479692918708;2
0.558153422746168;0.5731184490807616;2
0.5094551586786912;0.616810701346588;2
0.5425436816548219;0.5879169613954265;2
0.6014513214303082;0.5275000549286569;2
