x;y;nds_rank
0.6;0.0;0
0.5926130043570826;0.0938606790241385;0
0.570633909777092;0.1854101966249684;0
0.5346039145130207;0.272394299843728;0
0.4854101966249684;0.3526711513754839;0
0.4242640687119285;0.4242640687119284;0
0.3526711513754839;0.4854101966249684;0
0.2723942998437281;0.5346039145130207;0
0.1854101966249684;0.570633909777092;0
0.0938606790241385;0.5926130043570826;0
0.1210382140431001;0.6894561267704107;1
0.6404209086618369;0.282596991754596;1
0.617887317460853;0.3289608835728513;1
0.4506940521581616;0.5356070120426507;1
0.5148610387991285;0.474255322296632;1
0.3446035822079517;0.6093015436788647;1
0.2850503236572389;0.6393327091451706;1
0.6998639996692337;0.0137978971942385;1
0.4287137417325086;0.5533575043764309;1
0.4793879296213857;0.5100854957096127;1
0.2321607731278113;0.7655725801128832;2
0.4993532172153626;0.6250170913316427;2
0.5837308484260604;0.5470450590178032;2
0.4816969433018709;0.6387237703527513;2
0.2968694171108908;0.7428785561478;2
0.5213513083901531;0.6067889363196033;2
0.2558350191061476;0.757989738056497;2
0.5894278717269372;0.5409018247625472;2
0.6566501745694491;0.4569579283018428;2
0.6281505715328506;0.4954057523716829;2
