f1 f2 f3 r g b a
1.45557833377648e-14 2.4249202085578503 1.2729082481175698e-07 0.00000 1.00000 0.00000 1.00000
0.0005220958719800651 2.45150254549399 7.76850017441792e-08 0.00047 0.99974 0.00000 1.00000
1.8276584204832802 0.00032054769342988997 1.0599816199150601e-08 0.99998 0.00008 0.00000 1.00000
4.70293230223179e-15 3.2419081017558904 1.77888325929476e-07 0.00000 1.00000 0.00000 1.00000
2.2463947795544894e-13 3.2365846008387598 0.0 0.00000 1.00000 0.00000 1.00000
0.43499415970369204 0.7388628224827242 0.0431647243622598 0.55746 0.42892 0.12182 1.00000
4.70293230223179e-15 3.2419081017558904 1.77888325929476e-07 0.00000 1.00000 0.00000 1.00000
4.70293230223179e-15 3.2419081017558904 1.77888325929476e-07 0.00000 1.00000 0.00000 1.00000
0.15428465184800103 0.973890457663921 0.0192221839192014 0.25658 0.73367 0.07040 1.00000
0.403307205355765 0.760026098862302 0.0228461461289795 0.55313 0.47218 0.06900 1.00000
0.0257182640281042 0.44941843315774604 0.62154419765258 0.01746 0.13822 0.92932 1.00000
4.70293230223179e-15 3.2419081017558904 1.77888325929476e-07 0.00000 1.00000 0.00000 1.00000
0.180661063730727 0.288956555336579 0.17546297656634 0.28124 0.20376 0.60153 1.00000
0.00683140057246312 0.0396703767097315 1.0826777497289 0.00286 0.00753 0.99942 1.00000
0.43499415970369204 0.7388628224827242 0.0431647243622598 0.55746 0.42892 0.12182 1.00000
1.03157419194825 0.000596546552791406 0.18478684190323003 0.81069 0.00021 0.31980 1.00000
0.0307475406547038 0.0570429774419341 1.06720086915197 0.01306 0.01098 0.99834 1.00000
0.519013241372087 9.47083423737908e-11 0.6624617150065429 0.30928 0.00000 0.86934 1.00000
0.505267455521245 0.000509567237145594 0.645567178518436 0.30759 0.00014 0.86548 1.00000
0.46769427452165996 0.704795836156466 0.0147284628527309 0.62282 0.42515 0.04319 1.00000
0.53557807584926 0.6657073854538199 0.008957507807238809 0.68063 0.38323 0.02507 1.00000
0.9669270908457249 0.011767743108828001 0.120973985732374 0.85244 0.00470 0.23487 1.00000
1.14944982387966 0.000167377043259882 1.50170943784052e-08 0.99996 0.00007 0.00000 1.00000
0.046258879548041996 0.960620820330966 0.132497162677115 0.06510 0.61242 0.41066 1.00000
0.43695628653751395 0.7280949772216729 0.0134034999217325 0.59780 0.45122 0.04038 1.00000
0.0391658790984149 0.000578521330975467 0.6604843526374929 0.02662 0.00018 0.98863 1.00000
0.0455705619642076 0.9926217535825121 0.101184547009404 0.06833 0.67417 0.33410 1.00000
0.9597902814271371 0.0116808863637335 0.128197651896057 0.84358 0.00465 0.24814 1.00000
1.7357410864690102 0.000856576343117052 0.0 0.99993 0.00022 0.00000 1.00000
0.000644669831053887 1.00567590684222 0.12912868345693598 0.00094 0.66108 0.41266 1.00000
0.0257182640281042 0.44941843315774604 0.62154419765258 0.01746 0.13822 0.92932 1.00000
0.471353017923171 0.5705702555763461 0.156925884023901 0.50470 0.27675 0.37004 1.00000
1.0275962806879 0.48458727325784007 3.3589540141525e-07 0.88754 0.18959 0.00000 1.00000
0.948954372652135 0.0005487685366505929 0.21568907471021104 0.76183 0.00020 0.38133 1.00000
0.46870857572306796 0.0076490066804112905 0.62314128355967 0.29522 0.00218 0.86435 1.00000
0.24431895701315304 0.789716331335034 0.173692450523052 0.28277 0.41402 0.44270 1.00000
