x;y;nds_rank
-0.5;0.5000000000000001;0
-0.4876883405951377;0.3435655349597692;0
-0.4510565162951536;0.1909830056250527;0
-0.3910065241883679;0.0460095002604533;0
-0.3090169943749474;-0.087785252292473;0
-0.2071067811865476;-0.2071067811865474;0
-0.0877852522924732;-0.3090169943749473;0
0.046009500260453;-0.3910065241883678;0
0.1909830056250524;-0.4510565162951535;0
0.3435655349597689;-0.4876883405951376;0
-0.1739948898487283;0.0690349335992524;1
0.1318862145490063;-0.2102761723167545;1
0.2083998106726182;-0.2449626363679155;1
-0.2526994986559501;0.2289954525785932;1
-0.1191196034800079;-0.006646737467792;1
0.3317599759215388;-0.2821095155399139;1
0.2218167666912554;-0.2500760552809913;1
-0.2999089013702364;0.4879273238815298;1
-0.0532037583557898;-0.0778975702847598;1
-0.2233138845960189;0.1582149442257356;1
0.0240281766028923;0.1346907839486765;2
0.0369994394382979;0.1183843806661607;2
0.036090794594146;0.1194894887920845;2
0.0407363233905324;0.1138952533998651;2
0.2233506725488709;-0.0324144528662214;2
0.0430767592625813;0.1111283604143714;2
0.128980849191749;0.0284654946522743;2
-0.0699017664265425;0.3123514545116151;2
0.0009930767030968;0.16684524541625;2
-0.0177784088494221;0.1968407690183909;2
